RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
303,15.04,0.00,21.25
304,15.12,0.00,23.71
305,15.22,0.00,23.29
306,15.28,0.00,26.83
307,15.42,0.00,26.33
308,15.59,0.00,25.83
309,15.77,0.00,25.17
310,15.77,0.00,25.67
311,15.85,0.00,25.33
312,16.03,0.00,24.67
313,16.03,0.00,21.57
314,16.03,0.00,22.14
315,16.03,0.00,22.71
316,16.03,0.00,23.29
317,16.03,0.00,26.67
318,16.03,0.00,23.43
319,16.15,0.00,22.86
320,16.15,0.00,27.17
321,16.15,0.00,23.57
322,16.15,0.00,24.00
323,16.27,0.00,23.43
324,16.27,0.00,20.75
325,16.27,0.00,21.12
326,16.27,0.00,19.11
327,16.28,0.00,21.12
328,16.36,0.00,20.62
329,16.36,0.00,18.78
330,16.43,0.00,18.44
331,16.38,0.00,20.50
332,16.38,0.00,18.44
333,16.38,0.00,16.80
334,16.39,0.00,16.70
335,16.53,0.00,16.30
336,16.57,0.00,17.89
337,16.71,0.00,17.56
338,16.86,0.00,19.25
339,17.02,0.00,18.75
340,17.08,0.00,21.14
341,17.25,0.00,20.86
342,17.25,0.00,18.50
343,17.25,0.00,18.75
344,17.33,0.00,21.14
345,17.49,0.00,20.71
346,17.49,0.00,18.62
347,17.62,0.00,18.25
348,17.62,0.00,16.33
349,17.62,0.00,15.10
350,17.62,0.00,13.82
351,17.76,0.00,14.80
352,17.76,0.00,13.73
353,17.76,0.00,13.55
354,17.76,0.00,13.82
355,17.76,0.00,13.00
356,17.88,0.00,12.83
357,17.88,0.00,13.08
358,17.95,0.00,12.92
359,18.02,0.00,13.91
360,18.02,0.00,14.09
361,18.02,0.00,15.60
362,17.96,0.00,15.40
363,17.97,0.00,16.78
364,18.11,0.00,16.44
365,18.22,0.00,18.25
366,18.22,0.00,16.44
367,18.38,0.00,16.11
368,18.54,0.00,15.78
369,18.54,0.00,16.11
370,18.54,0.00,14.80
371,18.49,0.00,16.33
372,18.49,0.00,14.90
373,18.48,0.00,16.22
374,18.44,0.00,18.12
375,18.44,0.00,16.33
376,18.58,0.00,17.88
377,18.58,0.00,18.25
378,18.69,0.00,17.88
379,18.69,0.00,18.25
380,18.77,0.00,17.88
381,18.74,0.00,20.14
382,18.90,0.00,19.71
383,19.06,0.00,19.29
384,19.22,0.00,18.86
385,19.23,0.00,21.83
386,19.23,0.00,22.50
387,19.26,0.00,26.60
388,19.31,0.00,26.40
389,19.39,0.00,26.00
390,19.44,0.00,32.25
391,19.60,0.00,31.25
392,19.60,0.00,32.25
393,19.60,0.00,26.60
394,19.57,0.00,26.00
395,19.57,0.00,22.33
396,19.57,0.00,19.43
397,19.57,0.00,20.00
398,19.63,0.00,22.67
399,19.63,0.00,20.00
400,19.70,0.00,19.43
401,19.68,0.00,22.50
402,19.77,0.00,21.83
403,19.86,0.00,25.60
404,19.86,0.00,21.67
405,19.85,0.00,25.60
406,19.97,0.00,25.00
407,20.14,0.00,24.20
408,20.31,0.00,23.40
409,20.35,0.00,28.75
410,20.52,0.00,28.25
411,20.52,0.00,23.00
412,20.52,0.00,19.33
413,20.62,0.00,22.80
414,20.79,0.00,22.00
415,20.79,0.00,22.80
416,20.79,0.00,19.67
417,20.75,0.00,23.40
418,20.75,0.00,19.83
419,20.75,0.00,20.33
420,20.74,0.00,20.17
421,20.74,0.00,17.57
422,20.75,0.00,19.83
423,20.75,0.00,17.57
424,20.75,0.00,15.75
425,20.75,0.00,17.57
426,20.75,0.00,15.62
427,20.76,0.00,17.29
428,20.73,0.00,17.14
429,20.86,0.00,16.71
430,20.86,0.00,15.00
431,20.86,0.00,15.50
432,20.86,0.00,15.88
433,20.86,0.00,14.22
434,20.85,0.00,13.89
435,20.96,0.00,13.44
436,20.97,0.00,13.22
437,21.10,0.00,12.78
438,21.28,0.00,12.44
439,21.47,0.00,12.11
440,21.47,0.00,11.00
441,21.40,0.00,12.11
442,21.59,0.00,11.78
443,21.59,0.00,10.80
444,21.77,0.00,10.50
445,21.96,0.00,10.10
446,21.96,0.00,9.45
447,21.93,0.00,10.30
448,21.93,0.00,9.55
449,22.08,0.00,10.20
450,22.27,0.00,9.90
451,22.27,0.00,10.20
452,22.30,0.00,11.11
453,22.30,0.00,11.56
454,22.41,0.00,11.11
455,22.46,0.00,12.25
456,22.57,0.00,11.88
457,22.57,0.00,12.25
458,22.57,0.00,11.11
459,22.57,0.00,10.20
460,22.57,0.00,9.64
461,22.51,0.00,10.40
462,22.51,0.00,9.55
463,22.50,0.00,9.27
464,22.55,0.00,9.80
465,22.48,0.00,10.78
466,22.67,0.00,10.44
467,22.67,0.00,10.78
468,22.67,0.00,10.00
469,22.76,0.00,10.89
470,22.86,0.00,10.67
471,22.99,0.00,11.62
472,22.99,0.00,10.44
473,22.99,0.00,10.67
474,22.99,0.00,9.90
475,23.17,0.00,9.50
476,23.15,0.00,10.22
477,23.25,0.00,11.25
478,23.25,0.00,10.33
479,23.25,0.00,9.60
480,23.25,0.00,9.90
481,23.25,0.00,9.18
482,23.25,0.00,8.67
483,23.27,0.00,8.50
484,23.27,0.00,8.08
485,23.27,0.00,7.64
486,23.27,0.00,7.27
487,23.36,0.00,7.07
488,23.36,0.00,7.13
489,23.28,0.00,7.50
490,23.28,0.00,7.64
491,23.28,0.00,7.20
492,23.28,0.00,7.40
493,23.30,0.00,7.71
494,23.24,0.00,7.64
495,23.32,0.00,8.00
496,23.32,0.00,7.50
497,23.32,0.00,7.64
498,23.32,0.00,7.20
499,23.32,0.00,7.47
500,23.32,0.00,7.19
501,23.37,0.00,6.94
502,23.37,0.00,6.65
503,23.49,0.00,6.41
504,23.49,0.00,6.11
505,23.49,0.00,6.22
506,23.49,0.00,6.41
507,23.42,0.00,6.69
508,23.48,0.00,7.00
509,23.54,0.00,6.80
510,23.49,0.00,7.21
511,23.66,0.00,6.93
512,23.78,0.00,7.31
513,23.78,0.00,7.62
514,23.91,0.00,7.46
515,23.86,0.00,8.00
516,23.99,0.00,7.83
517,24.14,0.00,8.27
518,24.29,0.00,8.80
519,24.42,0.00,9.56
520,24.38,0.00,10.62
521,24.55,0.00,10.12
522,24.55,0.00,9.44
523,24.62,0.00,10.12
524,24.78,0.00,11.14
525,24.78,0.00,11.57
526,24.75,0.00,11.29
527,24.92,0.00,10.86
528,25.09,0.00,10.43
529,25.09,0.00,9.38
530,25.26,0.00,9.00
531,25.26,0.00,10.71
532,25.23,0.00,12.17
533,25.27,0.00,11.50
534,25.27,0.00,10.14
535,25.45,0.00,9.71
536,25.45,0.00,9.00
537,25.45,0.00,9.25
538,25.48,0.00,10.00
539,25.48,0.00,9.25
540,25.46,0.00,10.14
