RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
454,18.67,41.57,0.00
455,18.67,41.57,4.00
456,18.89,41.45,1.00
457,18.83,41.62,1.00
458,18.78,41.79,1.00
459,18.78,41.79,1.00
460,18.72,41.95,1.00
461,18.67,42.12,1.00
462,18.62,42.29,1.00
463,18.56,42.45,1.00
464,18.56,42.45,1.00
465,18.56,42.45,1.00
466,18.51,42.61,1.00
467,18.46,42.78,1.00
468,18.46,42.78,1.50
469,18.41,42.94,1.50
470,18.41,42.94,1.50
471,18.60,42.82,1.00
472,18.55,42.98,1.00
473,18.50,43.14,1.00
474,18.50,43.14,1.00
475,18.45,43.30,1.00
476,18.40,43.45,1.00
477,18.34,43.61,1.00
478,18.29,43.77,1.00
479,18.24,43.92,1.00
480,18.19,44.08,1.00
481,18.14,44.23,1.00
482,18.14,44.23,1.33
483,18.10,44.11,1.00
484,18.05,44.26,1.00
485,18.00,44.41,1.00
486,17.95,44.57,1.00
487,17.90,44.72,1.00
488,17.90,44.72,1.25
489,17.86,44.59,1.33
490,17.81,44.74,1.33
491,17.81,44.74,1.33
492,17.81,44.74,1.33
493,17.81,44.74,1.33
494,17.76,44.89,1.33
495,17.76,44.89,2.00
496,17.92,44.77,1.75
497,17.89,44.65,1.50
498,18.13,44.53,1.00
499,18.09,44.68,1.00
500,18.05,44.56,1.00
501,18.01,44.71,1.00
502,17.96,44.85,1.00
503,17.91,45.00,1.00
504,17.86,45.14,1.00
505,17.86,45.14,1.00
506,17.82,45.29,1.00
507,17.77,45.43,1.00
508,17.72,45.57,1.00
509,17.68,45.71,1.00
510,17.63,45.85,1.00
511,17.59,45.99,1.00
512,17.54,46.13,1.00
513,17.50,46.27,1.00
514,17.45,46.41,1.00
515,17.41,46.55,1.00
516,17.36,46.68,1.00
517,17.32,46.82,1.00
518,17.32,46.82,1.00
519,17.27,46.95,1.00
520,17.27,46.95,1.00
521,17.23,47.09,1.00
522,17.23,47.09,2.00
523,17.46,46.97,1.00
524,17.42,47.10,1.00
525,17.37,47.24,1.00
526,17.33,47.37,1.00
527,17.30,47.25,0.00
528,17.26,47.38,0.00
529,17.22,47.51,0.00
530,17.22,47.51,2.00
531,17.18,47.64,2.00
532,17.42,47.52,0.00
533,17.37,47.65,0.00
534,17.37,47.65,1.00
535,17.37,47.65,1.00
536,17.33,47.78,1.00
537,17.53,47.67,0.00
538,17.48,47.79,0.00
539,17.44,47.92,0.00
540,17.40,48.05,0.00
541,17.36,48.18,0.00
542,17.31,48.30,0.00
543,17.27,48.43,0.00
544,17.27,48.43,0.00
545,17.27,48.43,1.00
546,17.27,48.43,1.50
547,17.33,48.31,1.00
548,17.33,48.31,1.67
549,17.54,48.19,1.00
550,17.50,48.32,1.00
551,17.46,48.44,1.00
552,17.41,48.56,1.00
553,17.39,48.45,1.00
554,17.35,48.57,1.00
555,17.35,48.57,1.50
556,17.31,48.69,1.50
557,17.27,48.82,1.50
558,17.22,48.94,1.50
559,17.35,48.82,1.00
560,17.35,48.82,1.00
561,17.31,48.94,1.00
562,17.27,49.06,1.00
563,17.23,49.18,1.00
564,17.23,49.18,1.50
565,17.27,49.07,1.00
566,17.23,49.18,1.00
567,17.19,49.30,1.00
568,17.15,49.42,1.00
569,17.11,49.54,1.00
570,17.11,49.54,1.00
571,17.11,49.54,1.00
572,17.07,49.65,1.00
573,17.03,49.77,1.00
574,16.99,49.89,1.00
575,16.95,50.00,1.00
576,17.05,49.89,0.00
577,17.01,50.00,0.00
578,17.01,50.00,2.00
579,17.01,50.00,2.00
580,16.97,50.11,2.00
581,16.93,50.23,2.00
582,16.89,50.34,2.00
583,16.89,50.34,1.50
584,16.85,50.45,1.50
585,16.81,50.56,1.50
586,16.78,50.68,1.50
587,16.78,50.68,1.50
588,16.89,50.56,1.00
589,16.85,50.67,1.00
590,16.82,50.78,1.00
591,16.78,50.89,1.00
592,16.74,51.00,1.00
593,16.70,51.11,1.00
594,16.70,51.11,1.00
595,16.67,51.22,1.00
596,16.63,51.33,1.00
597,16.59,51.43,1.00
598,16.59,51.43,1.50
599,16.56,51.54,1.50
600,16.52,51.65,1.50
601,16.48,51.75,1.50
602,16.47,51.64,1.00
603,16.44,51.75,1.00
604,16.40,51.85,1.00
605,16.40,51.85,1.00
606,16.37,51.96,1.00
607,16.33,52.06,1.00
608,16.33,52.06,1.00
609,16.29,52.16,1.00
610,16.29,52.16,1.00
611,16.26,52.27,1.00
612,16.22,52.37,1.00
613,16.19,52.47,1.00
614,16.19,52.47,1.67
615,16.26,52.36,1.00
616,16.26,52.36,1.00
617,16.28,52.25,1.00
618,16.24,52.35,1.00
619,16.24,52.35,1.67
620,16.42,52.24,1.00
621,16.38,52.34,1.00
622,16.35,52.44,1.00
623,16.35,52.44,1.00
624,16.31,52.54,1.00
625,16.40,52.43,1.00
626,16.40,52.43,1.33
627,16.56,52.32,1.00
628,16.52,52.42,1.00
629,16.49,52.52,1.00
630,16.45,52.62,1.00
631,16.45,52.62,1.00
632,16.42,52.72,1.00
633,16.38,52.82,1.00
634,16.50,52.71,1.00
635,16.47,52.81,1.00
636,16.43,52.90,1.00
637,16.41,52.80,0.00
638,16.37,52.89,0.00
639,16.34,52.99,0.00
640,16.34,52.99,1.00
641,16.31,53.09,1.00
642,16.31,53.09,1.50
643,16.31,53.09,1.67
644,16.39,52.98,1.50
645,16.43,52.87,1.00
646,16.39,52.97,1.00
647,16.36,53.06,1.00
648,16.36,53.06,1.00
649,16.33,53.16,1.00
650,16.29,53.25,1.00
651,16.26,53.35,1.00
652,16.23,53.44,1.00
653,16.19,53.54,1.00
654,16.16,53.63,1.00
655,16.13,53.72,1.00
656,16.10,53.82,1.00
657,16.06,53.91,1.00
658,16.06,53.91,1.50
659,16.06,53.91,1.50
660,16.25,53.80,1.00
661,16.22,53.89,1.00
662,16.22,53.89,1.50
663,16.19,53.98,1.50
664,16.15,54.08,1.50
665,16.28,53.97,1.00
666,16.24,54.06,1.00
667,16.21,54.15,1.00
668,16.18,54.24,1.00
669,16.15,54.33,1.00
670,16.12,54.42,1.00
671,16.08,54.51,1.00
672,16.05,54.60,1.00
673,16.02,54.69,1.00
674,15.99,54.78,1.00
675,15.96,54.86,1.00
676,15.97,54.76,0.00
677,15.94,54.84,0.00
678,15.91,54.93,0.00
679,15.88,55.02,0.00
680,15.85,55.11,0.00
681,15.82,55.19,0.00
682,15.79,55.28,0.00
683,15.79,55.28,0.00
684,15.79,55.28,0.00
685,15.79,55.28,3.00
686,15.95,55.17,1.00
687,16.15,55.07,0.00
688,16.12,55.15,0.00
689,16.12,55.15,3.00
690,16.20,55.05,0.00
691,16.17,55.13,0.00
692,16.17,55.13,1.00
693,16.14,55.22,1.00
694,16.14,55.22,1.00
695,16.11,55.30,1.00
696,16.11,55.30,2.00
697,16.22,55.20,1.00
698,16.38,55.09,1.00
699,16.35,55.18,1.00
700,16.32,55.26,1.00
701,16.29,55.35,1.00
702,16.25,55.43,1.00
703,16.22,55.51,1.00
704,16.19,55.60,1.00
705,16.16,55.68,1.00
706,16.13,55.76,1.00
707,16.10,55.84,1.00
708,16.07,55.93,1.00
709,16.04,56.01,1.00
710,16.03,55.90,0.00
711,16.03,55.90,2.00
712,16.07,55.80,0.00
713,16.04,55.88,0.00
714,16.04,55.88,0.00
715,16.04,55.88,0.00
716,16.01,55.96,0.00
717,15.99,56.04,0.00
718,15.96,56.12,0.00
719,15.93,56.20,0.00
720,15.93,56.20,0.00
721,15.90,56.28,0.00
722,15.87,56.36,0.00
723,15.84,56.44,0.00
724,15.84,56.44,0.00
725,15.81,56.52,0.00
726,15.81,56.52,1.00
727,15.78,56.60,1.00
728,15.75,56.68,1.00
729,15.73,56.76,1.00
730,15.72,56.65,0.00
731,15.69,56.73,0.00
732,15.69,56.73,0.00
733,15.66,56.81,0.00
734,15.63,56.89,0.00
735,15.60,56.96,0.00
736,15.58,57.04,0.00
737,15.55,57.12,0.00
738,15.55,57.12,0.00
739,15.52,57.19,0.00
740,15.49,57.27,0.00
741,15.47,57.35,0.00
742,15.44,57.42,0.00
743,15.41,57.50,0.00
744,15.38,57.57,0.00
745,15.38,57.57,4.00
746,15.38,57.57,4.00
747,15.56,57.47,2.00
748,15.53,57.54,2.00
749,15.53,57.54,2.00
750,15.53,57.54,2.00
751,15.50,57.62,2.00
752,15.69,57.52,0.00
753,15.66,57.59,0.00
754,15.63,57.67,0.00
755,15.63,57.67,3.00
756,15.74,57.57,1.00
757,15.71,57.64,1.00
758,15.71,57.64,1.00
759,15.71,57.64,2.00
760,15.86,57.54,1.00
761,15.86,57.54,1.00
762,15.83,57.61,1.00
763,15.80,57.69,1.00
764,15.78,57.76,1.00
765,15.75,57.83,1.00
766,15.75,57.83,1.00
767,15.72,57.90,1.00
768,15.72,57.90,1.00
769,15.72,57.90,1.00
770,15.72,57.90,1.00
771,15.69,57.98,1.00
772,15.67,58.05,1.00
773,15.64,58.12,1.00
774,15.61,58.19,1.00
775,15.60,58.09,1.00
776,15.60,58.09,1.00
777,15.58,58.16,1.00
778,15.58,58.16,1.00
779,15.55,58.23,1.00
780,15.53,58.31,1.00
781,15.53,58.31,1.25
782,15.53,58.31,1.25
783,15.62,58.21,1.00
784,15.59,58.28,1.00
785,15.59,58.28,1.00
786,15.56,58.35,1.00
787,15.54,58.42,1.00
788,15.51,58.49,1.00
789,15.49,58.56,1.00
790,15.49,58.56,1.60
791,15.49,58.56,1.60
792,15.51,58.46,1.20
